,POINTID,YEAR,MONTH,DISCHRG
1981-11-01,1167.0,1981.0,11.0,1678.0
1981-12-01,1167.0,1981.0,12.0,1667.0
1982-01-01,1167.0,1982.0,1.0,1632.0
1982-02-01,1167.0,1982.0,2.0,1678.0
1982-03-01,1167.0,1982.0,3.0,1701.0
1982-04-01,1167.0,1982.0,4.0,1678.0
1982-05-01,1167.0,1982.0,5.0,1921.0
1982-06-01,1167.0,1982.0,6.0,2558.0
1982-07-01,1167.0,1982.0,7.0,2639.0
1982-08-01,1167.0,1982.0,8.0,2338.0
1982-09-01,1167.0,1982.0,9.0,1852.0
1982-10-01,1167.0,1982.0,10.0,1725.0
1982-11-01,1167.0,1982.0,11.0,1713.0
1982-12-01,1167.0,1982.0,12.0,1701.0
1983-01-01,1167.0,1983.0,1.0,1568.0
1983-02-01,1167.0,1983.0,2.0,1620.0
1983-03-01,1167.0,1983.0,3.0,1655.0
1983-04-01,1167.0,1983.0,4.0,1713.0
1983-05-01,1167.0,1983.0,5.0,1852.0
1983-06-01,1167.0,1983.0,6.0,2535.0
1983-07-01,1167.0,1983.0,7.0,2581.0
1983-08-01,1167.0,1983.0,8.0,2338.0
1983-09-01,1167.0,1983.0,9.0,1782.0
1983-10-01,1167.0,1983.0,10.0,1551.0
1983-11-01,1167.0,1983.0,11.0,1539.0
1983-12-01,1167.0,1983.0,12.0,1470.0
1984-01-01,1167.0,1984.0,1.0,1377.0
1984-02-01,1167.0,1984.0,2.0,1609.0
1984-03-01,1167.0,1984.0,3.0,1667.0
1984-04-01,1167.0,1984.0,4.0,1690.0
1984-05-01,1167.0,1984.0,5.0,1910.0
1984-06-01,1167.0,1984.0,6.0,2685.0
1984-07-01,1167.0,1984.0,7.0,2627.0
1984-08-01,1167.0,1984.0,8.0,2350.0
1984-09-01,1167.0,1984.0,9.0,1840.0
1984-10-01,1167.0,1984.0,10.0,1725.0
1984-11-01,1167.0,1984.0,11.0,1493.0
1984-12-01,1167.0,1984.0,12.0,1435.0
